id,channel,sub_branch,branch,area,region,tgl_transaksi,product_code,product,jenis_product,jenis_transaksi,jumlah_transaksi,total_transaksi
80,"PEGADAIAN DIGITAL"," MARRAKASH"," PONDOK UNGU"," JATIWARINGIN"," JAKARTA 1","2024-07-29 00:00:00",1,"GADAI KCA",MT,"Minta Tambah",1,657500
81,"PEGADAIAN DIGITAL"," CIMAHI"," CIMAHI"," BANDUNG 1"," BANDUNG","2024-07-29 00:00:00",1,"GADAI KCA",MT,"Minta Tambah",1,2469900
82,"PEGADAIAN DIGITAL"," GUNUNG JATI"," KLAYAN"," CIREBON"," BANDUNG","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,381100
83,"PDS SYARIAH"," ULUJAMI","BOTANICAL JUNCTION"," KALIDERES"," JAKARTA 2","2024-07-29 00:00:00",27,"MULIA ULTIMATE SYARIAH",CC,Cicil,1,217150
84,"PEGADAIAN DIGITAL"," BRI UNIT PARUNG PANJANG"," PAMULANG"," CIRENDEU"," JAKARTA 2","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,6625300
85,"PEGADAIAN DIGITAL"," BUMIAYU"," BUMIAYU"," PURWOKERTO"," SEMARANG","2024-07-29 00:00:00",1,"GADAI KCA",UG,"Ulang Gadai",1,387400
86,"PEGADAIAN DIGITAL"," BRI UNIT SEBUKU"," MALINAU"," TARAKAN"," BALIKPAPAN","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,18887000
87,"PEGADAIAN DIGITAL"," WAIKABUBAK"," WAIKABUBAK"," ENDE"," DENPASAR","2024-07-29 00:00:00",62,"TABUNGAN EMAS",BB,"Buyback TE",1,1314153
88,"PEGADAIAN DIGITAL"," PONOROGO"," PONOROGO"," MADIUN"," SURABAYA","2024-07-29 00:00:00",62,"TABUNGAN EMAS",BB,"Buyback TE",1,7692000
89,"PEGADAIAN DIGITAL"," PASAR BONANG"," BSD CITY"," TANGERANG"," JAKARTA 2","2024-07-29 00:00:00",32,"GADAI TAB EMAS",TB,Tebus,1,460600
90,"PEGADAIAN DIGITAL"," AJANGALE"," WATAMPONE"," BANTAENG"," MAKASSAR","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,268000
91,"PEGADAIAN DIGITAL"," WANARAJA"," CIBATU"," TASIKMALAYA"," BANDUNG","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,4548000
92,"PEGADAIAN DIGITAL"," BLORA"," BLORA"," PATI"," SEMARANG","2024-07-29 00:00:00",62,"TABUNGAN EMAS",OP,"Open Kredit",1,12500
93,"PEGADAIAN DIGITAL"," BRI UNIT KURIK"," MERAUKE"," JAYAPURA"," MANADO","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,498000
94,"PEGADAIAN DIGITAL"," JATIMAKMUR 2"," PONDOK MELATI"," JATIWARINGIN"," JAKARTA 1","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,106000
95,"PEGADAIAN DIGITAL"," AIR TAWAR"," ULAK KARANG"," PADANG"," PEKANBARU","2024-07-29 00:00:00",4,KRASIDA,CC,Cicil,1,575000
96,"PEGADAIAN DIGITAL"," PASAR GAGAN"," PURWOTOMO"," SURAKARTA"," SEMARANG","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,11431200
97,"PEGADAIAN DIGITAL"," PASAR KEDONDONG"," MARTADINATA"," SAMARINDA"," BALIKPAPAN","2024-07-29 00:00:00",62,"TABUNGAN EMAS",BB,"Buyback TE",1,1393392
98,"PEGADAIAN DIGITAL"," PANASAKAN"," TOLITOLI"," PALU"," MANADO","2024-07-29 00:00:00",32,"GADAI TAB EMAS",OP,"Open Kredit",1,2630000
99,"PEGADAIAN DIGITAL"," BEKASI TIMUR"," BEKASI TIMUR"," BEKASI"," JAKARTA 1","2024-07-29 00:00:00",4,KRASIDA,CC,Cicil,1,909100
100,"PEGADAIAN DIGITAL"," PASAR SANTA"," KEBAYORAN BARU"," KEBAYORAN BARU"," JAKARTA 2","2024-07-29 00:00:00",1,"GADAI KCA",TB,Tebus,1,2240300
